language,u.count,y.count,coronal.pre.u.count,palatal.pre.u.count,other.pre.u.count,coronal.pre.y.count,palatal.pre.y.count,other.pre.y.count,favouring.pre.u.prop,favouring.pre.y.prop,favouring.pre.u.count,favouring.pre.y.count,y,u.f2
Albanian,431.0,109.0,115.0,58.0,256.0,50.0,29.0,30.0,0.4013921113689095,0.7247706422018348,173.0,79.0,TRUE,812.0
Basque,607.0,NA,219.0,50.0,338.0,0.0,0.0,0.0,0.443163097199341,NA,269.0,0.0,FALSE,1062.0
Bengali,318.0,NA,67.0,55.0,196.0,0.0,0.0,0.0,0.3836477987421384,NA,122.0,0.0,FALSE,1001.0
Breton,254.0,150.0,91.0,19.0,144.0,60.0,13.0,77.0,0.4330708661417323,0.4866666666666667,110.0,73.0,TRUE,900.0
Bulgarian,263.0,NA,91.0,45.0,127.0,0.0,0.0,0.0,0.5171102661596958,NA,136.0,0.0,FALSE,667.0
Catalan,184.0,NA,59.0,19.0,106.0,0.0,0.0,0.0,0.42391304347826086,NA,78.0,0.0,FALSE,633.0
Chong,109.0,NA,38.0,8.0,63.0,0.0,0.0,0.0,0.42201834862385323,NA,46.0,0.0,FALSE,795.0
Danish,48.0,38.0,13.0,2.0,33.0,24.0,0.0,14.0,0.3125,0.631578947368421,15.0,24.0,TRUE,732.0
English,83.0,NA,24.0,28.0,31.0,0.0,0.0,0.0,0.6265060240963856,NA,52.0,0.0,FALSE,995.0
Estonian,58.0,27.0,21.0,4.0,33.0,14.0,0.0,13.0,0.43103448275862066,0.5185185185185185,25.0,14.0,TRUE,833.0
Finnish,70.0,24.0,25.0,4.0,41.0,11.0,0.0,13.0,0.4142857142857143,0.4583333333333333,29.0,11.0,TRUE,574.0
French,199.0,187.0,55.0,7.0,137.0,73.0,13.0,101.0,0.31155778894472363,0.45989304812834225,62.0,86.0,TRUE,745.0
German,98.0,40.0,41.0,8.0,49.0,9.0,1.0,30.0,0.5,0.25,49.0,10.0,TRUE,854.0
Greek,167.0,NA,55.0,2.0,110.0,0.0,0.0,0.0,0.3413173652694611,NA,57.0,0.0,FALSE,837.0
Hausa,528.0,NA,232.0,29.0,267.0,0.0,0.0,0.0,0.4943181818181818,NA,261.0,0.0,FALSE,910.0
Hungarian,54.0,40.0,9.0,23.0,22.0,19.0,9.0,12.0,0.5925925925925926,0.7,32.0,28.0,TRUE,680.0
Italian,58.0,NA,29.0,3.0,26.0,0.0,0.0,0.0,0.5517241379310345,NA,32.0,0.0,FALSE,701.0
Khmer,58.0,NA,24.0,11.0,23.0,0.0,0.0,0.0,0.603448275862069,NA,35.0,0.0,FALSE,680.0
Komi,427.0,NA,106.0,105.0,216.0,0.0,0.0,0.0,0.49414519906323184,NA,211.0,0.0,FALSE,568.0
Latvian,67.0,NA,41.0,9.0,17.0,0.0,0.0,0.0,0.746268656716418,NA,50.0,0.0,FALSE,589.0
Maori,89.0,NA,35.0,1.0,53.0,0.0,0.0,0.0,0.4044943820224719,NA,36.0,0.0,FALSE,1213.0
Nepali,467.0,NA,337.0,3.0,127.0,0.0,0.0,0.0,0.728051391862955,NA,340.0,0.0,FALSE,770.0
Polish,370.0,NA,124.0,33.0,213.0,0.0,0.0,0.0,0.4243243243243243,NA,157.0,0.0,FALSE,1025.0
Portuguese,660.0,NA,382.0,66.0,212.0,0.0,0.0,0.0,0.6787878787878788,NA,448.0,0.0,FALSE,783.0
Punjabi,82.0,NA,39.0,5.0,38.0,0.0,0.0,0.0,0.5365853658536586,NA,44.0,0.0,FALSE,976.0
Romanian,323.0,NA,133.0,20.0,170.0,0.0,0.0,0.0,0.47368421052631576,NA,153.0,0.0,FALSE,695.0
Russian,314.0,NA,148.0,32.0,134.0,0.0,0.0,0.0,0.5732484076433121,NA,180.0,0.0,FALSE,825.0
Spanish,227.0,NA,81.0,9.0,137.0,0.0,0.0,0.0,0.3964757709251101,NA,90.0,0.0,FALSE,703.0
Swedish,178.0,123.0,65.0,10.0,103.0,42.0,31.0,50.0,0.42134831460674155,0.5934959349593496,75.0,73.0,TRUE,763.0
Telugu,102.0,NA,29.0,5.0,68.0,0.0,0.0,0.0,0.3333333333333333,NA,34.0,0.0,FALSE,923.0
Thai,127.0,NA,56.0,5.0,66.0,0.0,0.0,0.0,0.48031496062992124,NA,61.0,0.0,FALSE,740.0
Tsez,603.0,NA,254.0,41.0,308.0,0.0,0.0,0.0,0.4892205638474295,NA,295.0,0.0,FALSE,937.0
Udmurt,498.0,NA,93.0,119.0,286.0,0.0,0.0,0.0,0.42570281124497994,NA,212.0,0.0,FALSE,730.0
Wa,178.0,NA,78.0,34.0,66.0,0.0,0.0,0.0,0.6292134831460674,NA,112.0,0.0,FALSE,784.0
Welsh,33.0,NA,17.0,3.0,13.0,0.0,0.0,0.0,0.6060606060606061,NA,20.0,0.0,FALSE,640.0
Yiddish,265.0,NA,134.0,23.0,108.0,0.0,0.0,0.0,0.5924528301886792,NA,157.0,0.0,FALSE,939.0
Azerbaijani,314.0,237.0,132.0,39.0,143.0,90.0,34.0,113.0,0.5445859872611465,0.5232067510548524,171.0,124.0,TRUE,NA
Mari,385.0,219.0,89.0,56.0,240.0,37.0,62.0,120.0,0.37662337662337664,0.4520547945205479,145.0,99.0,TRUE,NA
Selkup,193.0,96.0,49.0,15.0,129.0,18.0,15.0,63.0,0.3316062176165803,0.34375,64.0,33.0,TRUE,NA
Lezgian,1075.0,247.0,373.0,128.0,574.0,77.0,23.0,147.0,0.466046511627907,0.4048582995951417,501.0,100.0,TRUE,NA
Ancient_Greek,138.0,NA,80.0,0.0,58.0,0.0,0.0,0.0,0.5797101449275363,NA,80.0,0.0,FALSE,NA
